year,geo_name,geo,num_ppl,num_ppl_moe,wage_bin_name,wage_bin
2014,United States,01000US,19175353,92661.5,< 10K,A
2015,United States,01000US,18582269,100733,< 10K,A
2014,United States,01000US,21216573,105859,$10-20K,B
2015,United States,01000US,20987738,95546.1,$10-20K,B
2014,United States,01000US,20932980,99355.5,$20-30K,C
2015,United States,01000US,21308700,105130,$20-30K,C
2014,United States,01000US,18444902,89689,$30-40K,D
2015,United States,01000US,18742734,101529,$30-40K,D
2014,United States,01000US,14459569,87913.7,$40-50K,E
2015,United States,01000US,14797713,62263,$40-50K,E
2014,United States,01000US,11150671,75971.6,$50-60K,F
2015,United States,01000US,11448206,72394.8,$50-60K,F
2014,United States,01000US,8509041,59418.1,$60-70K,G
2015,United States,01000US,8817232,58514.7,$60-70K,G
2014,United States,01000US,6082701,51244.2,$70-80K,H
2015,United States,01000US,6316268,55072.8,$70-80K,H
2014,United States,01000US,4560929,43493.2,$80-90K,I
2015,United States,01000US,4852634,42956.9,$80-90K,I
2014,United States,01000US,3142806,38511.8,$90-100K,J
2015,United States,01000US,3312220,38969.3,$90-100K,J
2014,United States,01000US,3135463,36454.6,$100K-110,K
2015,United States,01000US,3368094,37840.3,$100K-110,K
2014,United States,01000US,1460431,23857.2,$110-120,L
2015,United States,01000US,1626297,22628.6,$110-120,L
2014,United States,01000US,1775893,26116.9,$120-130,M
2015,United States,01000US,1900044,27762.7,$120-130,M
2014,United States,01000US,956819,19713.8,$130-140,N
2015,United States,01000US,1025432,18249.4,$130-140,N
2014,United States,01000US,711579,17182.2,$140-150,O
2015,United States,01000US,772097,15983.9,$140-150,O
2014,United States,01000US,997029,18475.1,$150-160,P
2015,United States,01000US,1079531,22648,$150-160,P
2014,United States,01000US,458890,12061.5,$160-170,Q
2015,United States,01000US,491260,13503.1,$160-170,Q
2014,United States,01000US,374783,12032.6,$170-180,R
2015,United States,01000US,412068,10519.2,$170-180,R
2014,United States,01000US,340317,10081.4,$180-190,S
2015,United States,01000US,389361,11279.1,$180-190,S
2014,United States,01000US,179799,8348.15,$190-200K,T
2015,United States,01000US,194729,8099.35,$190-200K,T
2014,United States,01000US,2762472,32156.1,$200K+,U
2015,United States,01000US,2981526,32118,$200K+,U
2014,Boston City--Mattapan & Roxbury PUMA,79500US2503304,11021,1969.08,< 10K,A
2015,Boston City--Mattapan & Roxbury PUMA,79500US2503304,12752,2289.18,< 10K,A
2014,Boston City--Mattapan & Roxbury PUMA,79500US2503304,9373,2012.13,$10-20K,B
2015,Boston City--Mattapan & Roxbury PUMA,79500US2503304,10533,2221.6,$10-20K,B
2014,Boston City--Mattapan & Roxbury PUMA,79500US2503304,8943,2004.26,$20-30K,C
2015,Boston City--Mattapan & Roxbury PUMA,79500US2503304,9336,2434.55,$20-30K,C
2014,Boston City--Mattapan & Roxbury PUMA,79500US2503304,7298,1542.21,$30-40K,D
2015,Boston City--Mattapan & Roxbury PUMA,79500US2503304,7819,2035.3,$30-40K,D
2014,Boston City--Mattapan & Roxbury PUMA,79500US2503304,5120,1350.2,$40-50K,E
2015,Boston City--Mattapan & Roxbury PUMA,79500US2503304,7569,1904.84,$40-50K,E
2014,Boston City--Mattapan & Roxbury PUMA,79500US2503304,3758,1244.37,$50-60K,F
2015,Boston City--Mattapan & Roxbury PUMA,79500US2503304,4661,1498.49,$50-60K,F
2014,Boston City--Mattapan & Roxbury PUMA,79500US2503304,3386,1202.85,$60-70K,G
2015,Boston City--Mattapan & Roxbury PUMA,79500US2503304,2304,811.869,$60-70K,G
2014,Boston City--Mattapan & Roxbury PUMA,79500US2503304,1441,761.947,$70-80K,H
2015,Boston City--Mattapan & Roxbury PUMA,79500US2503304,1997,1009.98,$70-80K,H
2014,Boston City--Mattapan & Roxbury PUMA,79500US2503304,765,523.187,$80-90K,I
2015,Boston City--Mattapan & Roxbury PUMA,79500US2503304,202,172.51,$80-90K,I
2014,Boston City--Mattapan & Roxbury PUMA,79500US2503304,683,496.433,$90-100K,J
2015,Boston City--Mattapan & Roxbury PUMA,79500US2503304,1636,859.553,$90-100K,J
2014,Boston City--Mattapan & Roxbury PUMA,79500US2503304,347,307.571,$100K-110,K
2015,Boston City--Mattapan & Roxbury PUMA,79500US2503304,1177,594.32,$100K-110,K
2015,Boston City--Mattapan & Roxbury PUMA,79500US2503304,178,195.986,$110-120,L
2014,Boston City--Mattapan & Roxbury PUMA,79500US2503304,399,388.276,$120-130,M
2015,Boston City--Mattapan & Roxbury PUMA,79500US2503304,309,316.045,$120-130,M
2014,Boston City--Mattapan & Roxbury PUMA,79500US2503304,448,489.967,$130-140,N
2015,Boston City--Mattapan & Roxbury PUMA,79500US2503304,301,316.52,$130-140,N
2014,Boston City--Mattapan & Roxbury PUMA,79500US2503304,108,180.473,$140-150,O
2015,Boston City--Mattapan & Roxbury PUMA,79500US2503304,88,148.381,$140-150,O
2015,Boston City--Mattapan & Roxbury PUMA,79500US2503304,99,164.857,$160-170,Q
2014,Boston City--Mattapan & Roxbury PUMA,79500US2503304,51,85.4862,$170-180,R
2015,Boston City--Mattapan & Roxbury PUMA,79500US2503304,304,383.235,$170-180,R
2014,Boston City--Mattapan & Roxbury PUMA,79500US2503304,56,96.5336,$190-200K,T
2014,Boston City--Mattapan & Roxbury PUMA,79500US2503304,545,480.182,$200K+,U
2015,Boston City--Mattapan & Roxbury PUMA,79500US2503304,498,370.211,$200K+,U
