"RegionID","RegionName","RegionType","SizeRank","ZriForecast","Forecast_YoY_Change","Current_YoY_Change"
102001,"United States","Country",0,1471,0.0179930795847751,0.0277382645803699
394913,"New York, NY","Msa",1,2377,-0.00999583506872137,0.00502302218501471
753899,"Los Angeles, CA","Msa",2,2828,0.0298616168973052,0.0393641180923543
394463,"Chicago, IL","Msa",3,1649,-0.00241984271022389,0.0203703703703704
394514,"Dallas, TX","Msa",4,1643,0.0230386052303861,0.0255427841634739
394974,"Philadelphia, PA","Msa",5,1586,0.00443318556048133,0.00701530612244894
394692,"Houston, TX","Msa",6,1559,0.00321750321750325,0.00712896953985731
395209,"Washington, DC","Msa",7,2157,0.00512581547064306,0.0151371807000946
394856,"Miami, FL","Msa",8,1908,0.0247046186895812,0.0070308274743105
394347,"Atlanta, GA","Msa",9,1439,0.0322812051649928,0.044194756554307
394404,"Boston, MA","Msa",10,2457,0.036271615352172,0.0119504908237302
395057,"San Francisco, CA","Msa",11,3431,0.00556858147713957,0.0185074626865671
394532,"Detroit, MI","Msa",12,1215,0.00913621262458464,0.0273037542662116
395025,"Riverside, CA","Msa",13,1950,0.0416666666666667,0.0666666666666667
394976,"Phoenix, AZ","Msa",14,1391,0.0227941176470587,0.0397553516819571
395078,"Seattle, WA","Msa",15,2311,0.0485480943738656,0.0490242741551643
394865,"Minneapolis, MN","Msa",16,1682,0.0262355094569859,0.0452806122448979
395056,"San Diego, CA","Msa",17,2588,0.0156985871271587,0.0387280880554424
395121,"Saint Louis, MO","Msa",18,1152,0.00348432055749126,0.0141342756183747
395148,"Tampa, FL","Msa",19,1394,0.0190058479532165,0.0155902004454342
394358,"Baltimore, MD","Msa",20,1762,0.0114810562571757,0.0133798720186156
394530,"Denver, CO","Msa",21,2121,0.0361504640937957,0.0250375563345018
394982,"Pittsburgh, PA","Msa",22,1052,-0.0103480714957667,-0.00374882849109648
394458,"Charlotte, NC","Msa",23,1327,0.023130300693909,0.0384307445956766
395045,"Sacramento, CA","Msa",24,1962,0.0611141157382369,0.0819192510239906
395055,"San Antonio, TX","Msa",25,1350,0.00371747211895901,0.0166288737717308
394466,"Cincinnati, OH","Msa",26,1317,0.0289062499999999,0.0199203187250996
394475,"Cleveland, OH","Msa",27,1152,0.00435919790758499,0.00614035087719289
394735,"Kansas City, MO","Msa",28,1309,0.0210608424336973,0.0247801758593125
394775,"Las Vegas, NV","Msa",29,1325,0.0192307692307692,0.043338683788122
394492,"Columbus, OH","Msa",30,1332,0.0113895216400912,0.0169884169884169
394705,"Indianapolis, IN","Msa",31,1206,-0.0016556291390728,0.019409282700422
395059,"San Jose, CA","Msa",32,3537,0.00654524758110409,0.0197330237957052
394355,"Austin, TX","Msa",33,1697,0.0065243179122183,-0.00413467217956287
395194,"Virginia Beach, VA","Msa",34,1407,0.000711237553342903,0.00788530465949822
394902,"Nashville, TN","Msa",35,1511,0.00935203740814972,0.0225409836065573
395005,"Providence, RI","Msa",36,1649,0,0.0364550597108737
394862,"Milwaukee, WI","Msa",37,1356,-0.0102189781021897,0.0363086232980332
394849,"Memphis, TN","Msa",38,1100,0.0156971375807942,0.0363636363636364
394935,"Oklahoma City, OK","Msa",39,1095,-0.00363967242948138,-0.00181653042688468
394807,"Louisville, KY","Msa",40,1202,0.00838926174496635,0.0383275261324041
394669,"Hartford, CT","Msa",41,1606,0.00124688279301743,0.00312695434646648
395022,"Richmond, VA","Msa",42,1414,0.012893982808023,0.0433482810164425
394910,"New Orleans, LA","Msa",43,1382,-0.00575539568345329,-0.00429799426934097
394425,"Buffalo, NY","Msa",44,1209,0.0008278145695364,-0.00247729149463249
395012,"Raleigh, NC","Msa",45,1470,0.0236768802228413,0.0257142857142858
394388,"Birmingham, AL","Msa",46,1047,-0.00852272727272729,0.0114942528735633
395053,"Salt Lake City, UT","Msa",47,1624,0.0201005025125629,0.0691739422431161
395031,"Rochester, NY","Msa",48,1368,-0.0200573065902578,0
394640,"Grand Rapids, MI","Msa",49,1376,0.0132547864506627,0.070133963750985
395167,"Tucson, AZ","Msa",50,1224,0.0311710193765795,0.044894366197183
